"minax",""
"actual","predict"
"2125.5870248377323","6069.669921875"
"4522.219020158052","6060.27978515625"
"6858.661669135094","5903.0"
"8313.024571418762","5750.97021484375"
"8664.505133509636","5992.509765625"
"8410.101921379566","5992.009765625"
"7927.338485956192","5884.97021484375"
"7531.34282207489","6295.02978515625"
"7597.333072423935","6204.60009765625"
"7787.556333065033","6467.31982421875"
"8007.383720040321","6750.0"
"8245.720309019089","7336.0"
"8494.581946134567","7448.77978515625"
"8741.151126742363","7511.33984375"
"8972.372505307198","7589.7900390625"
"9171.265772879124","7410.0"
"9318.110151827335","7234.68017578125"
"9404.057843267918","7950.02978515625"
"9457.687431871891","7478.56982421875"
"9501.141669094563","7335.0498046875"
"9517.369600176811","6850.0"
"9484.520476341248","6500.0"
"9392.861659944057","6804.8701171875"
"9275.532511353493","6761.58984375"
"9189.714337229729","7367.93994140625"
"9176.131502985954","7990.0"
"9247.332470476627","7993.0"
"9387.063405156136","7862.6201171875"
"9547.36816561222","8099.0"
"9696.096432805061","8314.9501953125"
"9829.607592701912","8360.009765625"
"9945.139394164085","8304.98046875"
"10040.172725379467","8279.4501953125"
"10117.413909554482","8340.01953125"
"10173.20290505886","8788.5"
"10229.991538763046","9475.0"
"10324.888876795769","9769.4697265625"
"10477.517970085144","9987.0"
"10686.346982002258","11454.0"
"10923.499076247215","10900.0"
"11140.382887840271","10970.0"
"11328.227739572525","11200.0"
"11514.858660817146","11870.0"
"11712.463231086731","11681.0"
"11916.952235460281","11900.0"
"12122.387893676758","13924.98046875"
"12368.706281661987","17050.0"
"12777.638370633125","17712.650390625"
"13362.702236175537","16500.98046875"
"13964.039363861084","16120.0"
"14445.423439860344","17488.0"
"14731.940470695496","17613.0"
"14982.766061306","17582.150390625"
"15235.192956924438","17150.0"
"15434.960466384888","17920.0"
"15604.105372428894","19739.0"
"15824.994801402092","19999.0"
"16127.030361652374","19315.009765625"
"16433.331751346588","19050.0"
"16639.11946117878","17881.369140625"
"16656.14745604992","17375.19921875"
"16508.76263666153","15947.9697265625"
"16189.964003324509","15894.0"
"15800.606690645218","15500.0"
"15446.644105792046","14698.990234375"
"15162.208771467209","16150.0"
"15000.05073595047","16500.0"
"14984.960791110992","15499.990234375"
"15028.35615682602","15115.099609375"
"15042.895064353943","14607.76953125"
"14963.112397193909","14191.2001953125"
"14792.815964460373","13824.23046875"
"14594.683905482292","15249.9697265625"
"14452.168937206268","15400.0"
"14434.321450948715","15503.58984375"
"14524.091080665588","17124.439453125"
"14705.750891804695","17236.4609375"
"14973.84114074707","17175.009765625"
"15248.70161306858","16250.0"
"15404.064699172974","15419.240234375"
"15390.497171521187","14933.419921875"
"15256.82470369339","14970.0"
"15056.220041394234","14106.0"
"14830.324179410934","14550.0"
"14646.527332544327","14310.0"
"14526.168067455292","14283.259765625"
"14448.674324512482","13601.25"
"14322.712846755981","11850.0"
"14070.1870470047","12110.0"
"13744.133089065552","12018.3896484375"
"13445.209476709366","12999.0"
"13259.564064502716","12774.169921875"
"13184.512311697006","11865.0"
"13122.976279616356","11372.509765625"
"13011.009736657143","11480.009765625"
"12874.642131209373","11693.7001953125"
"12760.432583808899","11600.0"
"12676.815026640892","11535.0"
"12624.115607857704","11878.099609375"
"12614.161613345146","11698.0"
"12628.91599059105","11168.7001953125"
"12602.764089465141","10299.990234375"
"12496.493953585625","10164.6796875"
"12306.222418308258","9090.0"
"12040.045493364334","9494.8603515625"
"11756.221245288849","9353.4501953125"
"11499.049306154251","8334.0"
"11229.481382369995","7944.0"
"10928.225280880928","8589.0"
"10654.203138828278","8638.990234375"
"10471.906337976456","8728.5302734375"
"10403.490581512451","9069.0"
"10423.512781262398","8576.419921875"
"10472.040565013885","8985.0"
"10515.76090145111","8940.0"
"10555.923043966293","9510.0"
"10609.759860277176","10259.2900390625"
"10714.326254725456","10307.599609375"
"10888.041944622993","11140.4501953125"
"11118.16949057579","11270.0"
"11368.341607451439","11250.0"
"11601.048902869225","11750.0"
"11814.499328136444","11282.5302734375"
"11982.76116156578","10939.900390625"
"12060.064160823822","10400.0"
"12046.255259990692","10534.76953125"
"11976.063938856125","9870.0"
"11876.352088928223","10433.8798828125"
"11787.676291823387","10850.0"
"11759.341435194016","11050.0"
"11795.47558915615","11100.0"
"11872.49247288704","11200.0"
"11975.627112269402","11484.98046875"
"12098.190526604652","11500.0"
"12227.23569393158","11650.009765625"
"12347.168729305267","11401.6396484375"
"12423.762915611267","10898.990234375"
"12409.127458810806","10100.0"
"12284.345766067505","9409.2099609375"
"12072.933472394943","9515.2099609375"
"11827.250896692276","9772.419921875"
"11610.331762194633","9898.0"
"11458.893050789833","9500.0"
"11365.000060677528","9366.16015625"
"11279.48566353321","8416.919921875"
"11157.200122714043","8607.1103515625"
"11005.131486177444","8350.0"
"10844.962130188942","8297.0"
"10691.465270876884","8744.6796875"
"10586.200660347939","9037.0"
"10551.732570052147","9180.0"
"10584.186077356339","9100.0"
"10647.522400140762","8925.009765625"
"10704.165032505989","9000.0"
"10736.552603721619","8687.2998046875"
"10738.892157435417","8495.73046875"
"10702.680293083191","8221.7900390625"
"10625.728168010712","8095.0"
